,2022_05_09T11_13_38_coda,2022_05_09T11_13_38_envelope,2023_03_22T14_50_33_coda,2023_03_22T14_50_33_envelope,2018_11_18T12_48_44_coda,2018_11_18T12_48_44_envelope,2023_06_16T16_38_28_coda,2023_06_16T16_38_28_envelope,2012_12_30T23_35_02_coda,2012_12_30T23_35_02_envelope
CLAF,1.8333201480148395e-10,1.1856926933630384e-10,3.505642075132713e-10,4.507739081160503e-10,0.0,0.0,4.491647929234163e-09,1.1607621489577674e-08,0.0,0.0
SALEV,2.859955405200848e-10,2.2867970083089984e-10,0.0,0.0,0.0,0.0,6.1420265153691165e-09,1.8831121265818385e-08,0.0,0.0
BRMO,5.63488036326834e-10,3.186155543678085e-10,5.471013653947732e-10,7.36310256164966e-10,4.0972592421444124e-10,4.088268463594616e-10,4.614121689899574e-09,1.8943175094881053e-08,2.7395906373848885e-10,7.482020431798248e-10
LOCF,2.559061091630771e-10,1.3242019862019238e-10,0.0,0.0,0.0,0.0,3.4009464745762052e-09,1.3376181636168453e-08,0.0,0.0
CERN5,5.415185363709651e-10,5.459038251076216e-10,0.0,0.0,2.1166268345360718e-10,2.3768868185609816e-10,3.658455402928352e-09,1.2182559645205216e-08,0.0,0.0
CIRO,1.6628843663047135e-10,1.3132109902561283e-10,0.0,0.0,3.207080961942879e-10,3.6541883271334527e-10,4.894530030764257e-09,1.3775099967881892e-08,0.0,0.0
SLE,2.8102638083793677e-10,1.8432350186221708e-10,0.0,0.0,4.431480080990815e-10,4.6175956371369966e-10,7.0671709456516815e-09,1.896791272545123e-08,5.257779051245069e-10,1.7507819735136131e-09
ACB,3.150696044091148e-09,2.513218016166569e-09,0.0,0.0,8.548964503495901e-10,9.916234726028831e-10,1.0333728169270162e-08,4.307020995124006e-08,0.0,0.0
GORR,3.86504901646381e-10,2.5492388519476725e-10,4.0087559345767055e-10,5.365469009642141e-10,6.953516329571037e-10,8.281251725083464e-10,4.323393551861935e-09,1.9654744356911283e-08,2.9614267736120003e-10,7.09205268318479e-10
KIND,6.454562517611372e-10,4.838635850379645e-10,9.591403487693726e-10,1.2408142796012371e-09,0.0,0.0,8.078605585752938e-09,2.8426723752207144e-08,0.0,0.0
OGCB,1.8670419767012238e-10,1.1841474043016396e-10,3.4757334847090954e-10,4.6132254768751646e-10,2.502033068223013e-10,2.8727234610823935e-10,6.77629990620615e-09,1.6278977184590312e-08,0.0,0.0
ARBS,1.2655944254867542e-10,6.418666256189274e-11,3.926253814625022e-10,5.319810615866943e-10,0.0,0.0,4.793571983411256e-09,1.0390817168578227e-08,0.0,0.0
HARD,4.1015746468920254e-10,3.021204217398491e-10,7.630488912002978e-10,1.06838490248093e-09,0.0,0.0,6.2093699299867125e-09,2.5308504637959778e-08,0.0,0.0
SAOF,2.9528594189756714e-10,2.5343352297992326e-10,3.0363174662896004e-10,3.8917647150077135e-10,6.642803716762801e-10,8.500614918071034e-10,4.178902920884369e-09,1.5253323234546558e-08,3.96178041464662e-10,7.399386749494379e-10
VOEL,9.273457216686775e-10,6.043489353743124e-10,0.0,0.0,0.0,0.0,1.8854566565306093e-08,5.6513045248525676e-08,0.0,0.0
DOU,4.0592456431851613e-10,2.4413135057343136e-10,7.230151190228424e-10,9.91038837337742e-10,0.0,0.0,8.622471510782669e-09,3.48338442459065e-08,7.877332761210351e-10,2.9321681267250037e-09
SULZ,8.704827748203446e-10,6.415459192116605e-10,0.0,0.0,8.805504982342555e-10,9.704055466673352e-10,1.7406764556685183e-08,6.175100193378857e-08,9.699285301755052e-10,3.0226810095967535e-09
